2025/03/10 11:49:22 routes.go:1187: INFO server config env="map[HTTPS_PROXY: HTTP_PROXY: NO_PROXY: OLLAMA_DEBUG:false OLLAMA_FLASH_ATTENTION:false OLLAMA_GPU_OVERHEAD:0 OLLAMA_HOST:http://127.0.0.1:11434 OLLAMA_KEEP_ALIVE:5m0s OLLAMA_KV_CACHE_TYPE: OLLAMA_LLM_LIBRARY: OLLAMA_LOAD_TIMEOUT:5m0s OLLAMA_MAX_LOADED_MODELS:0 OLLAMA_MAX_QUEUE:512 OLLAMA_MODELS:/Users/stefantrasca/.ollama/models OLLAMA_MULTIUSER_CACHE:false OLLAMA_NOHISTORY:false OLLAMA_NOPRUNE:false OLLAMA_NUM_PARALLEL:0 OLLAMA_ORIGINS:[http://localhost https://localhost http://localhost:* https://localhost:* http://127.0.0.1 https://127.0.0.1 http://127.0.0.1:* https://127.0.0.1:* http://0.0.0.0 https://0.0.0.0 http://0.0.0.0:* https://0.0.0.0:* app://* file://* tauri://* vscode-webview://*] OLLAMA_SCHED_SPREAD:false http_proxy: https_proxy: no_proxy:]"
time=2025-03-10T11:49:22.923+01:00 level=INFO source=images.go:432 msg="total blobs: 27"
time=2025-03-10T11:49:22.923+01:00 level=INFO source=images.go:439 msg="total unused blobs removed: 0"
time=2025-03-10T11:49:22.924+01:00 level=INFO source=routes.go:1238 msg="Listening on 127.0.0.1:11434 (version 0.5.7)"
time=2025-03-10T11:49:22.924+01:00 level=INFO source=routes.go:1267 msg="Dynamic LLM libraries" runners=[metal]
time=2025-03-10T11:49:22.965+01:00 level=INFO source=types.go:131 msg="inference compute" id=0 library=metal variant="" compute="" driver=0.0 name="" total="16.0 GiB" available="16.0 GiB"
[GIN] 2025/03/10 - 11:49:23 | 200 |     250.083µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 11:49:23 | 200 |       36.75µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 11:49:23 | 200 |    2.560792ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 11:50:22 | 200 |      34.333µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 11:50:22 | 200 |      13.708µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 11:50:22 | 200 |     1.56525ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 11:56:00 | 200 |      30.958µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 11:56:00 | 200 |        14.5µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 11:56:00 | 200 |     2.23425ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 11:57:53 | 200 |      22.625µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 11:57:53 | 200 |       14.75µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 11:57:53 | 200 |        2.08ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 12:00:12 | 200 |      23.083µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 12:00:12 | 200 |      15.708µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 12:00:12 | 200 |    3.408292ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 12:03:02 | 200 |      22.125µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 12:03:02 | 200 |      13.417µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 12:03:02 | 200 |      2.0295ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 12:07:41 | 200 |      24.458µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 12:07:41 | 200 |       14.75µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 12:07:41 | 200 |     1.94425ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 12:10:16 | 200 |      22.875µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 12:10:16 | 200 |      12.667µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 12:10:16 | 200 |        1.99ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 12:11:11 | 200 |      39.292µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 12:11:11 | 200 |       14.75µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 12:11:11 | 200 |     777.042µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 12:15:08 | 200 |      22.292µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 12:15:08 | 200 |      14.375µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 12:15:08 | 200 |    2.032042ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 12:19:29 | 200 |      27.125µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 12:19:29 | 200 |      13.959µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 12:19:29 | 200 |    2.161416ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2025/03/10 - 12:22:38 | 200 |      27.834µs |       127.0.0.1 | GET      "/api/version"
[GIN] 2025/03/10 - 12:22:38 | 200 |      20.375µs |       127.0.0.1 | HEAD     "/"
[GIN] 2025/03/10 - 12:22:38 | 200 |    2.287667ms |       127.0.0.1 | GET      "/api/tags"
